EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
1,W2- T1,,Daugavpils Sporta skola/LOVE,DSS/LOVE,1 [11:00],HOHLOVA Polina 04/PARFENA Līga 01,,,,,,,,,,,,
1,W2- T1,,Daugavpils Sporta skola,DSS,2 [11:01],GERMANE Anastasija 05/ROSMANOVIČA Elīna 04,,,,,,,,,,,,
1,W2- T1,,Daugavpils Sporta skola/LOVE,DSS/LOVE,3 [11:02],STRODE Daniela 05/BULAŠA Diana 01,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,1 [11:03],SKIRMANTS Henrijs 08,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,2 [11:04],LULBERGS Hermanis Toms 12,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,3 [11:05],RAFAELS Ralfs 09,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,4 [11:06],SĒJĀNS Valters 06,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,5 [11:07],KOLOSOVS Ņikita 07,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,6 [11:08],GRUNDĀNS Igo 02,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,7 [11:09],TRIŠKINS Matvejs 08,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,8 [11:10],LIEPIŅŠ Kristers 09,,,,,,,,,,,,
2,M1x T1,,Daugavpils Sporta skola,DSS,9 [11:11],MURAVSKIS Grigorijs 07,,,,,,,,,,,,
2,M1x T1,,Daugavpils Sporta skola,DSS,10 [11:12],ŠALKOVSKIS Jegors 06,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,11 [11:13],ELSTS Eduards 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,12 [11:14],ZIRNIS Artūrs 07,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,13 [11:15],PAMOVSKIS Elgars 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV Jūrmala,MSG,14 [11:16],ARSENTJEVS Arnolds  07,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,15 [11:17],KĻAVIŅŠ Edvards 09,,,,,,,,,,,,
2,M1x T1,,AK Daugava,AKDG,16 [11:18],LABLAIKS Laurenss 01,,,,,,,,,,,,
2,M1x T1,,Individuāli,IND,17 [11:19],KUDELKO Marko 05,,,,,,,,,,,,
2,M1x T1,,Individuāli,IND,18 [11:20],KRŪMIŅŠ Krists Tomass 04,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV Jūrmala,MSG,19 [11:21],SPRŪDE Mihails  07,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,20 [11:22],EZERS Edvards 08,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,21 [11:23],RASA Frederiks 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,22 [11:24],BOZDORTS Raivo 08,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,23 [11:25],KRIEVĀNS Renārs 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,24 [11:26],KUPLIS Jānis 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,25 [11:27],REZEVSKIS Gustavs 06,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,26 [11:28],BERZIŅŠ Krists 08,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,27 [11:29],ĶEKSIS Henrijs Oto 09,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,28 [11:30],GAROZA Jānis 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,29 [11:31],RASA Henriks 08,,,,,,,,,,,,
2,M1x T1,,LOVE,LOVE,30 [11:32],ANDERSONS Vladislavs 05,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,31 [11:33],TEICĀNS Edgars 09,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,32 [11:34],STRAZDS Patriks 05,,,,,,,,,,,,
2,M1x T1,,Jelgavas BJSS,JBJSS,33 [11:35],DONOVS Emīls Niks 06,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,34 [11:36],KRŪMIŅŠ Mareks 09,,,,,,,,,,,,
2,M1x T1,,MSĢ TSV SASS,SASS,35 [11:37],TRIŠKINS Ignatijs 08,,,,,,,,,,,,
3,M2- T1,,Daugavpils Sporta skola,DSS,1 [11:38],LEDAKS Vladislavs 08/JEGOROVS Maksims 09,,,,,,,,,,,,
3,M2- T1,,Daugavpils Sporta skola/LOVE,DSS/LOVE,2 [11:39],AZAREVIČS Rihards 05/FJODOROVS Artūrs 07,,,,,,,,,,,,
3,M2- T1,,RAK1872,RAK,3 [11:40],BALTAIS Vidis 73/BRIUKS Mārtiņš 73,,,,,,,,,,,,
3,M2- T1,,Daugavpils Sporta skola,DSS,4 [11:41],VANAGS Vadims 06/PUŠKELIS Nikita 08,,,,,,,,,,,,
3,M2- T1,,MSĢ TSV Jūrmala,MSG,5 [11:42],BLUMBERGS Madars 07/ŠERSTŅOVS Teodors  07,,,,,,,,,,,,
3,M2- T1,,MSĢ TSV Jūrmala,MSG,6 [11:43],DRENGERS Kristers  07/KŪKOJS Rūdis  08,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,1 [11:44],BIRKĀNE Eva Evalīna 06,,,,,,,,,,,,
4,W1x T1,,RAK1872,RAK,2 [11:45],JAUNBAUERE Evita 75,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV SASS,SASS,3 [11:46],INDĀNE Līva 08,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,4 [11:47],RUMPE Estere 07,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,5 [11:48],KRŪMIŅA Alma 08,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,6 [11:49],JAKUBONE Tīna  06,,,,,,,,,,,,
4,W1x T1,,Daugavpils Sporta skola,DSS,7 [11:50],VOLOSOVA Anastasija 09,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV SASS,SASS,8 [11:51],LAVRINOVIČA Līva 07,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,9 [11:52],BUMBIERE Kristīne 03,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,10 [11:53],VOVERE Nora 10,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,11 [11:54],BONDARE Beāte 08,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,12 [11:55],KAŽMERE Sabīne  07,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV SASS,SASS,13 [11:56],POHEVICA Laura 02,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV SASS,SASS,14 [11:57],METĀLA Dagnija 05,,,,,,,,,,,,
4,W1x T1,,Daugavpils Sporta skola,DSS,15 [11:58],SIMANOVIČA Jekaterina 06,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV SASS,SASS,17 [11:59],FREIMANE Evija 07,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,18 [12:00],SADIGOVA Liāna  08,,,,,,,,,,,,
4,W1x T1,,MSĢ TSV Jūrmala,MSG,19 [12:01],BATURINA Aurelija 07,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,20 [12:02],PLŪDUMA Marta 09,,,,,,,,,,,,
4,W1x T1,,Jelgavas BJSS,JBJSS,21 [12:03],MINAJEVA Amīna  06,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,17 [13:00],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,18 [13:01],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,19 [13:02],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,20 [13:03],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,21 [13:04],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,22 [13:05],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,23 [13:06],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,24 [13:07],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,25 [13:08],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,26 [13:09],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,27 [13:10],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,28 [13:11],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,29 [13:12],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,30 [13:13],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,31 [13:14],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,32 [13:15],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,33 [13:16],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,34 [13:17],TBD,,,,,,,,,,,,
5,M1x T2,,TBD,TBD,35 [13:18],TBD,,,,,,,,,,,,
6,W1x T2,,TBD,TBD,17 [13:19],TBD,,,,,,,,,,,,
6,W1x T2,,TBD,TBD,18 [13:20],TBD,,,,,,,,,,,,
6,W1x T2,,TBD,TBD,19 [13:21],TBD,,,,,,,,,,,,
6,W1x T2,,TBD,TBD,20 [13:22],TBD,,,,,,,,,,,,
7,W2- K1,,TBD,TBD,1,TBD,,,,,,,,,,,,
7,W2- K1,,TBD,TBD,2,TBD,,,,,,,,,,,,
8,M1x K1,,TBD,TBD,1,TBD,,,,,,,,,,,,
8,M1x K1,,TBD,TBD,2,TBD,,,,,,,,,,,,
9,M1x K2,,TBD,TBD,1,TBD,,,,,,,,,,,,
9,M1x K2,,TBD,TBD,2,TBD,,,,,,,,,,,,
10,M1x K3,,TBD,TBD,1,TBD,,,,,,,,,,,,
10,M1x K3,,TBD,TBD,2,TBD,,,,,,,,,,,,
11,M1x K4,,TBD,TBD,1,TBD,,,,,,,,,,,,
11,M1x K4,,TBD,TBD,2,TBD,,,,,,,,,,,,
12,M1x K5,,TBD,TBD,1,TBD,,,,,,,,,,,,
12,M1x K5,,TBD,TBD,2,TBD,,,,,,,,,,,,
13,M1x K6,,TBD,TBD,1,TBD,,,,,,,,,,,,
13,M1x K6,,TBD,TBD,2,TBD,,,,,,,,,,,,
14,M1x K7,,TBD,TBD,1,TBD,,,,,,,,,,,,
14,M1x K7,,TBD,TBD,2,TBD,,,,,,,,,,,,
15,M1x K8,,TBD,TBD,1,TBD,,,,,,,,,,,,
15,M1x K8,,TBD,TBD,2,TBD,,,,,,,,,,,,
16,W2- FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
16,W2- FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
17,M1x Q1,,TBD,TBD,1,TBD,,,,,,,,,,,,
17,M1x Q1,,TBD,TBD,2,TBD,,,,,,,,,,,,
18,M1x Q2,,TBD,TBD,1,TBD,,,,,,,,,,,,
18,M1x Q2,,TBD,TBD,2,TBD,,,,,,,,,,,,
19,M1x Q3,,TBD,TBD,1,TBD,,,,,,,,,,,,
19,M1x Q3,,TBD,TBD,2,TBD,,,,,,,,,,,,
20,M1x Q4,,TBD,TBD,1,TBD,,,,,,,,,,,,
20,M1x Q4,,TBD,TBD,2,TBD,,,,,,,,,,,,
21,M1x S1,,TBD,TBD,1,TBD,,,,,,,,,,,,
21,M1x S1,,TBD,TBD,2,TBD,,,,,,,,,,,,
22,M1x S2,,TBD,TBD,1,TBD,,,,,,,,,,,,
22,M1x S2,,TBD,TBD,2,TBD,,,,,,,,,,,,
23,M1x FB,,TBD,TBD,1,TBD,,,,,,,,,,,,
23,M1x FB,,TBD,TBD,2,TBD,,,,,,,,,,,,
24,M1x FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
24,M1x FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
25,M2- K1,,TBD,TBD,1,TBD,,,,,,,,,,,,
25,M2- K1,,TBD,TBD,2,TBD,,,,,,,,,,,,
26,W1x K1,,TBD,TBD,1,TBD,,,,,,,,,,,,
26,W1x K1,,TBD,TBD,2,TBD,,,,,,,,,,,,
27,W1x K2,,TBD,TBD,1,TBD,,,,,,,,,,,,
27,W1x K2,,TBD,TBD,2,TBD,,,,,,,,,,,,
28,W1x K3,,TBD,TBD,1,TBD,,,,,,,,,,,,
28,W1x K3,,TBD,TBD,2,TBD,,,,,,,,,,,,
29,W1x K4,,TBD,TBD,1,TBD,,,,,,,,,,,,
29,W1x K4,,TBD,TBD,2,TBD,,,,,,,,,,,,
30,W1x K5,,TBD,TBD,1,TBD,,,,,,,,,,,,
30,W1x K5,,TBD,TBD,2,TBD,,,,,,,,,,,,
31,W1x K6,,TBD,TBD,1,TBD,,,,,,,,,,,,
31,W1x K6,,TBD,TBD,2,TBD,,,,,,,,,,,,
32,W1x K7,,TBD,TBD,1,TBD,,,,,,,,,,,,
32,W1x K7,,TBD,TBD,2,TBD,,,,,,,,,,,,
33,W1x K8,,TBD,TBD,1,TBD,,,,,,,,,,,,
33,W1x K8,,TBD,TBD,2,TBD,,,,,,,,,,,,
34,M2- S1,,TBD,TBD,1,TBD,,,,,,,,,,,,
34,M2- S1,,TBD,TBD,2,TBD,,,,,,,,,,,,
35,M2- S2,,TBD,TBD,1,TBD,,,,,,,,,,,,
35,M2- S2,,TBD,TBD,2,TBD,,,,,,,,,,,,
36,W1x Q1,,TBD,TBD,1,TBD,,,,,,,,,,,,
36,W1x Q1,,TBD,TBD,2,TBD,,,,,,,,,,,,
37,W1x Q2,,TBD,TBD,1,TBD,,,,,,,,,,,,
37,W1x Q2,,TBD,TBD,2,TBD,,,,,,,,,,,,
38,W1x Q3,,TBD,TBD,1,TBD,,,,,,,,,,,,
38,W1x Q3,,TBD,TBD,2,TBD,,,,,,,,,,,,
39,W1x Q4,,TBD,TBD,1,TBD,,,,,,,,,,,,
39,W1x Q4,,TBD,TBD,2,TBD,,,,,,,,,,,,
40,M2- FB,,TBD,TBD,1,TBD,,,,,,,,,,,,
40,M2- FB,,TBD,TBD,2,TBD,,,,,,,,,,,,
41,M2- FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
41,M2- FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
42,W1x S1,,TBD,TBD,1,TBD,,,,,,,,,,,,
42,W1x S1,,TBD,TBD,2,TBD,,,,,,,,,,,,
43,W1x S2,,TBD,TBD,1,TBD,,,,,,,,,,,,
43,W1x S2,,TBD,TBD,2,TBD,,,,,,,,,,,,
44,W1x FB,,TBD,TBD,1,TBD,,,,,,,,,,,,
44,W1x FB,,TBD,TBD,2,TBD,,,,,,,,,,,,
45,W1x FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
45,W1x FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
